wav,distance_m,gt_deg,est_deg,err_deg,abs_err_deg,used_windows,total_windows,used_ratio,mean_conf,median_conf
audio/test_0deg_30cm_take1.wav,0.3,0.0,0.0,0.0,0.0,11,12,0.9166666666666666,0.19714858969405102,0.21128558190392777
audio/test_0deg_30cm_take2.wav,0.3,0.0,0.0,0.0,0.0,11,12,0.9166666666666666,0.2050982031584,0.2211946327076454
audio/test_90deg_30cm_take1.wav,0.3,90.0,90.0,0.0,0.0,9,12,0.75,0.18489194810150722,0.21106311755758475
audio/test_180deg_30cm_take1.wav,0.3,180.0,180.0,0.0,0.0,11,12,0.9166666666666666,0.21766921986898394,0.22894662424997442
audio/test_0deg_50cm_take1.wav,0.5,0.0,0.0,0.0,0.0,10,12,0.8333333333333334,0.19308103958063197,0.12516085762316564
audio/test_90deg_50cm_take1.wav,0.5,90.0,90.0,0.0,0.0,11,12,0.9166666666666666,0.22736136292242323,0.30101653100261017
audio/test_140deg_50cm_take1.wav,0.5,140.0,135.0,-5.0,5.0,9,12,0.75,0.10992787555224136,0.0921344826776002
audio/test_180deg_50cm_take1.wav,0.5,180.0,180.0,0.0,0.0,12,12,1.0,0.29049108241936245,0.2787551494852267
audio/test_0deg_80cm_take1.wav,0.8,0.0,0.0,0.0,0.0,10,12,0.8333333333333334,0.12152519094562071,0.139386817446374
audio/test_0deg_80cm_take2.wav,0.8,0.0,0.0,0.0,0.0,7,12,0.5833333333333334,0.08273975297635708,0.057323491124228854
audio/test_0deg_80cm_take3.wav,0.8,0.0,0.0,0.0,0.0,6,12,0.5,0.0588271507589091,0.050756825618742854
audio/test_40deg_80cm_take2.wav,0.8,40.0,45.0,5.0,5.0,12,12,1.0,0.21663873651902077,0.2162077449931572
audio/test_40deg_80cm_take3.wav,0.8,40.0,46.0,6.0,6.0,6,12,0.5,0.11405330089444321,0.0589279366262523
audio/test_90deg_80cm_take1.wav,0.8,90.0,91.0,1.0,1.0,11,12,0.9166666666666666,0.2109455736364553,0.20655052578136207
audio/test_90deg_80cm_take2.wav,0.8,90.0,91.0,1.0,1.0,11,12,0.9166666666666666,0.2503390630827498,0.25231742394954443
audio/test_90deg_80cm_take3.wav,0.8,90.0,91.0,1.0,1.0,11,12,0.9166666666666666,0.2072163402118167,0.1938747108464804
audio/test_180deg_80cm_take1.wav,0.8,180.0,180.0,0.0,0.0,5,12,0.4166666666666667,0.08543145878019383,0.0421170992983992
audio/test_180deg_80cm_take2.wav,0.8,180.0,181.0,1.0,1.0,10,12,0.8333333333333334,0.1359314926192642,0.1259183401673342
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,0.0,0.0,0.0,9,12,0.75,0.24504539390296012,0.2869163891111576
audio/test_180deg_100cm_take1.wav,1.0,180.0,180.0,0.0,0.0,8,12,0.6666666666666666,0.0965567875183652,0.07172603676976175
audio/test_0deg_120cm_take1.wav,1.2,0.0,0.0,0.0,0.0,11,12,0.9166666666666666,0.25949741737139576,0.2984223802465775
audio/test_0deg_120cm_take2.wav,1.2,0.0,0.0,0.0,0.0,11,12,0.9166666666666666,0.241545375247015,0.2375183956579714
audio/test_0deg_120cm_take3.wav,1.2,0.0,0.0,0.0,0.0,9,12,0.75,0.18292195618297527,0.22510833193274224
audio/test_90deg_120cm_take1.wav,1.2,90.0,90.0,0.0,0.0,10,12,0.8333333333333334,0.23419115380875835,0.25213625735231326
audio/test_90deg_120cm_take2.wav,1.2,90.0,90.0,0.0,0.0,12,12,1.0,0.24323042727550304,0.2613000651632967
audio/test_90deg_120cm_take3.wav,1.2,90.0,90.0,0.0,0.0,12,12,1.0,0.24319247752183246,0.21824681313184374
audio/test_120deg_120cm_take1.wav,1.2,120.0,116.0,-4.0,4.0,0,12,0.0,0.0368754052997231,0.03418739710717275
audio/test_120deg_120cm_take2.wav,1.2,120.0,116.0,-4.0,4.0,0,12,0.0,0.03395012712540641,0.03443031529423615
audio/test_0deg_150cm_take1.wav,1.5,0.0,0.0,0.0,0.0,12,12,1.0,0.2840010732215285,0.30375185509981606
audio/test_0deg_150cm_take2.wav,1.5,0.0,0.0,0.0,0.0,12,12,1.0,0.2536580313653756,0.2811804929427699
audio/test_0deg_150cm_take3.wav,1.5,0.0,0.0,0.0,0.0,10,12,0.8333333333333334,0.20703937010470805,0.2295848911472945
audio/test_40deg_150cm_take1.wav,1.5,40.0,45.0,5.0,5.0,8,12,0.6666666666666666,0.07158843220027052,0.07836123816326965
audio/test_40deg_150cm_take2_Outlier.wav,1.5,40.0,135.0,95.0,95.0,4,12,0.3333333333333333,0.04088336228464217,0.0226630497688929
audio/test_40deg_150cm_take3_OUTLIER.wav,1.5,40.0,38.0,-2.0,2.0,6,12,0.5,0.04737897940557478,0.0489466481518954
audio/test_40deg_150cm_take4.wav,1.5,40.0,38.0,-2.0,2.0,2,12,0.16666666666666666,0.03378710262354187,0.03359165401159585
audio/test_40deg_150cm_take5.wav,1.5,40.0,38.0,-2.0,2.0,4,12,0.3333333333333333,0.047484599166321945,0.0404401288618313
audio/test_90deg_150cm_take1.wav,1.5,90.0,90.0,0.0,0.0,11,12,0.9166666666666666,0.1858879643735977,0.18057396187041386
audio/test_90deg_150cm_take2.wav,1.5,90.0,90.0,0.0,0.0,11,12,0.9166666666666666,0.26486468813357705,0.307845474658448
audio/test_90deg_150cm_take3.wav,1.5,90.0,90.0,0.0,0.0,12,12,1.0,0.28111409023286366,0.2741874922155906
audio/test_110deg_150cm_take1.wav,1.5,110.0,111.0,1.0,1.0,7,12,0.5833333333333334,0.0510683705992033,0.05323318699633
audio/test_110deg_150cm_take2.wav,1.5,110.0,111.0,1.0,1.0,9,12,0.75,0.05259290696976913,0.05621716465928275
audio/test_180deg_150cm_take1.wav,1.5,180.0,180.0,0.0,0.0,6,12,0.5,0.06014032904713055,0.0469034712614272
audio/test_180deg_150cm_take2.wav,1.5,180.0,179.0,-1.0,1.0,7,12,0.5833333333333334,0.08591762809337139,0.0715521696360434
audio/test_0deg_181cm_take1.wav,1.81,0.0,358.0,-2.0,2.0,11,12,0.9166666666666666,0.17901054524508533,0.1857497540186977
audio/test_60deg_181cm_take1.wav,1.81,60.0,222.0,162.0,162.0,5,12,0.4166666666666667,0.06719748481225275,0.031947476599094
audio/test_90deg_181cm_take1.wav,1.81,90.0,88.0,-2.0,2.0,4,12,0.3333333333333333,0.05636291080182457,0.033859515488848
