wav,distance_m,angle_gt_deg,t_center_s,theta_raw_deg,theta_calib_deg,theta_offset_deg,confidence,score_top1,top1_deg,top1_score,top2_deg,top2_score,used_flag,calib_file
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,4.25,0.0,0.5,0.5,0.2889042246798309,2.1491654098470883,0.0,2.1491654098470883,180.0,1.5282624434062153,1,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,4.75,0.0,0.5,0.5,0.331042431483547,1.9262927668875214,0.0,1.9262927668875214,180.0,1.2886081255875759,1,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,5.25,0.0,0.5,0.5,0.37431413843397116,1.6743229115886697,0.0,1.6743229115886697,180.0,1.0476001734767244,1,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,5.75,270.0,270.5,0.5,0.030735385584996094,1.5056893176541115,270.0,1.5056893176541115,90.0,1.459411375904772,0,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,6.25,270.0,270.5,0.5,0.029815319943087525,1.3703181151685753,270.0,1.3703181151685753,90.0,1.3294616421409857,0,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,6.75,0.0,0.5,0.5,0.2748686279590683,2.1541485681800054,0.0,2.1541485681800054,180.0,1.562040706824101,1,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,7.25,0.0,0.5,0.5,0.2956799480844525,2.128434517604974,0.0,2.128434517604974,180.0,1.4990991099380828,1,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,7.75,0.0,0.5,0.5,0.41398221075400565,1.524677277884256,0.0,1.524677277884256,180.0,0.8934880076989183,1,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,8.25,0.0,0.5,0.5,0.36751342106256474,1.7428431914016802,0.0,1.7428431914016802,180.0,1.1023249277536828,1,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,8.75,0.0,0.5,0.5,0.28492855354248425,2.3029669991437114,0.0,2.3029669991437114,180.0,1.6467859432213332,1,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,9.25,0.0,0.5,0.5,0.21349585363053847,1.00699271682143,0.0,1.00699271682143,358.0,0.7920039471436903,1,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,9.75,270.0,270.5,0.5,0.03526461167697612,1.589361968649099,270.0,1.589361968649099,90.0,1.533313736010499,0,calib_100cm.json
audio/test_0deg_100cm_take1_BAD.wav,1.0,0.0,SUMMARY,,,0.5,,,,,,,9/12,calib_100cm.json
audio/test_0deg_120cm_take1.wav,1.2,0.0,4.25,0.0,0.0,0.0,0.30637212356487403,1.6397960788041321,0.0,1.6397960788041321,180.0,1.1374082719272502,1,calib_120cm.json
audio/test_0deg_120cm_take1.wav,1.2,0.0,4.75,1.0,1.0,0.0,0.22766116900760225,1.2763442573546508,1.0,1.2763442573546508,0.0,0.9857702316689234,1,calib_120cm.json
